Ticker;Price;Target Price;P/E;Forward P/E;P/B;PEG;P/FCF;Dividend %;Debt/Eq;Payout;EPS next 5Y;EPS growth next Y;Company;Sector;Industry;Date
LEG;26.82;28.00;15.76;15.67;2.19;3.03;9.15;6.86%;1.21;104.30%;5.20%;11.75%;Leggett & Platt, Incorporated;Consumer Cyclical;Furnishings, Fixtures & Appliances;2023-09-12
MAIN;40.77;44.00;9.22;10.53;1.46;1.15;-;6.77%;0.90;44.80%;8.00%;-5.05%;Main Street Capital Corporation;Financial;Asset Management;2023-09-12
MAN;74.04;83.50;12.61;10.76;1.52;0.38;12.18;3.97%;0.41;47.70%;33.00%;15.42%;ManpowerGroup Inc.;Industrials;Staffing & Employment Services;2023-09-12
MED;81.43;80.00;6.71;10.71;4.78;0.34;4.35;8.11%;0.00;54.00%;20.00%;-10.06%;Medifast, Inc.;Consumer Cyclical;Personal Services;2023-09-12
MMM;107.73;114.39;-;11.09;7.65;-;13.34;5.57%;2.05;58.32%;1.66%;9.34%;3M Company;Industrials;Conglomerates;2023-09-12
MO;44.93;49.14;11.81;8.65;-;3.31;9.22;8.72%;-;98.80%;3.56%;4.09%;Altria Group, Inc.;Consumer Defensive;Tobacco;2023-09-12
NKE;96.74;125.93;29.98;22.03;10.61;1.99;30.46;1.41%;0.64;39.50%;15.10%;17.91%;NIKE, Inc.;Consumer Cyclical;Footwear & Accessories;2023-09-12
NNN;38.15;45.38;18.71;17.82;1.66;1.91;-;5.92%;0.98;107.50%;9.79%;-4.46%;NNN REIT, Inc.;Real Estate;REIT - Retail;2023-09-12
NTAP;78.53;80.60;14.21;12.72;19.06;2.04;15.28;2.55%;2.74;35.70%;6.96%;7.66%;NetApp, Inc.;Technology;Computer Hardware;2023-09-12
O;55.22;68.08;41.09;40.11;1.20;1.82;-;5.55%;0.63;223.30%;22.62%;7.16%;Realty Income Corporation;Real Estate;REIT - Retail;2023-09-12
PFE;34.12;43.96;9.09;10.35;1.95;-;18.08;4.81%;0.66;42.40%;-;-0.06%;Pfizer Inc.;Healthcare;Drug Manufacturers - General;2023-09-12
SNY;54.71;64.12;14.92;6.22;1.76;2.14;-;3.47%;0.29;53.27%;6.97%;8.90%;Sanofi;Healthcare;Drug Manufacturers - General;2023-09-12
SON;54.60;63.60;11.18;9.95;2.34;-;16.04;3.74%;1.38;40.30%;-1.41%;4.64%;Sonoco Products Company;Consumer Cyclical;Packaging & Containers;2023-09-12
SWK;89.70;101.00;-;18.97;1.41;-;-;3.61%;0.83;58.90%;17.68%;353.40%;Stanley Black & Decker, Inc.;Industrials;Tools & Accessories;2023-09-12
SWKS;97.20;120.51;14.98;10.80;2.63;1.00;10.78;2.80%;0.25;38.00%;15.00%;7.24%;Skyworks Solutions, Inc.;Technology;Semiconductors;2023-09-12
TSN;52.84;56.43;56.82;17.36;1.00;7.58;189.06;3.63%;0.50;201.60%;7.50%;147.08%;Tyson Foods, Inc.;Consumer Defensive;Farm Products;2023-09-12
UNM;48.85;54.50;6.78;6.18;1.04;0.85;9.66;2.99%;0.37;18.20%;8.00%;2.41%;Unum Group;Financial;Insurance - Life;2023-09-12
USB;37.07;43.95;10.30;8.67;1.23;1.72;3.91;5.18%;0.98;52.80%;6.00%;-3.80%;U.S. Bancorp;Financial;Banks - Regional;2023-09-12
VZ;34.12;40.17;6.83;7.26;1.51;-;11.72;7.80%;1.60;51.90%;-0.54%;-0.45%;Verizon Communications Inc.;Communication Services;Telecom Services;2023-09-12
WBA;21.85;32.60;-;5.71;0.90;-;-;8.79%;0.61;38.21%;-2.15%;-4.35%;Walgreens Boots Alliance, Inc.;Healthcare;Pharmaceutical Retailers;2023-09-12
